PaperID,Year,Journal,Location,Measurements,OldVsNew,UsedOrNot,Lat,Long,Lat,Long,Lat,Long,Lat,Long,Lat,Long,Lat,Long,Lat,Long,Link
Shive+Kenzi+etal-2013,2013,Applied Vegetation Science,"Apache-Sitgreaves NF, Arizona","Percent Cover, Species Richness",New,Yes,34.388495,-110.617021,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Shive+Sieg+etal-2013,2013,Forest Ecology & Management,"White Mountain Apache Tribal lands, Arizona","Percent Cover, Species Richness",New,No,33.836959,-109.965041,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Stoddard+McGlone+etal-2011,2011,Western North American Naturalist,"Fort Valley EF in Coconino NF, Arizona","Percent Cover, Species Richness",New,No,35.271381,-111.816003,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Waldrop+Phillips+etal-2010,2010,Forest science,"Southern Appalachian Mountain, North Carolina",Percent Cover,New,Yes,35.295356,-83.979541,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Waldrop+Yaussy+etal-2008,2008,Forest Ecology & Management,"Green River Site, North Carolina and Ohio Hills, Ohio",Percent Cover,Old,No,35.286828,-82.297194,39.2,-82.383333,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Wayman+North-2007,2007,Forest Ecology & Management,"Teakettle Experimental Forest, California",Percent Cover,Old,Yes,36.966667,-119.016667,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Wienk+Sieg+etal-2004,2004,Forest Ecology & Management,"Badger Game Production Area, South Dakota",Species Richness,Old,Yes,44.44485,-103.90276,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Wolk+Rocca-2009,2009,Forest Ecology & Management,"Heil Valley Ranch, Colorado","Percent Cover, Species Richness",Old,Yes,40.1494144,-105.3002,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Youngblood+Metlen+etal-2006,2006,Forest Ecology & Management,"Blue Mountains, Oregon",Percent Cover,Old,Yes,45.727378,-117.273496,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Zald+Gray+etal-2008,2008,Forest Ecology & Management,"Teakettle Experimental Forest, California",Percent Cover,Old,Yes,36.966667,119.016667,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Zenner+Kabrick+etal-2006,2006,Forest Ecology & Management,"Ozark Highlands, Missouri","Percent Cover, Species Richness",Old,No,36.901777,-90.928589,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Zhang+Webster+etal-2008,2008,Canadian Journal of Forestry,"Blacks Mountain Experimental Forest, California",Percent Cover,Old,No,40.730265,-121.149734,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
